"̴r";"Bruttoforbruk"
"1950";16924
"1955";22600
"1960";31253
"1961";33503
"1962";37453
"1963";38615
"1964";42637
"1965";46891
"1966";48072
"1967";51351
"1968";56706
"1969";55674
"1970";56770
"1971";60648
"1972";62968
"1973";67843
"1974";71156
"1975";71866
"1976";75496
"1977";73515
"1978";77592
"1979";84472
"1980";83637
"1981";88168
"1982";87094
"1983";92953
"1984";98396
"1985";102748
"1986";99316
"1987";103946
"1988";104391
"1989";104345
"1990";105941
"1991";108234
"1992";108774
"1993";112197
"1994";113082
"1995";116349
"1996";113688
"1997";115238
"1998";120421
"1999";120526
"2000";123761
"2001";125206
"2002";120800
"2003";115130
"2004";121964
"2005";125769
"2006";122255
"2007";127128
"2008";128231
"2009";122790
"2010";131180
"2011";124557
"2012";129900
"2013";128970
"2014";126383
"2015";129884
"2016";132579
"2017";134238
"2018";136908
"2019";134926
"2020";133725
"2021";139529
"2022";133420
"2023";136236
