"medietype";"̴r";"Minutter brukt til ulike medier en gjennomsnittsdag"
"Internett";"1991";..
"Internett";"1992";..
"Internett";"1994";..
"Internett";"1995";..
"Internett";"1996";..
"Internett";"1997";..
"Internett";"1998";..
"Internett";"1999";..
"Internett";"2000";18
"Internett";"2001";21
"Internett";"2002";22
"Internett";"2003";30
"Internett";"2004";33
"Internett";"2005";44
"Internett";"2006";53
"Internett";"2007";62
"Internett";"2008";65
"Internett";"2009";73
"Internett";"2010";85
"Internett";"2011";86
"Internett";"2012";94
"Internett";"2013";112
"Internett";"2014";120
"Internett";"2015";127
"Internett";"2016";140
"Internett";"2017";158
"Internett";"2018";167
"Internett";"2019";178
"Internett";"2020";202
"Internett";"2021";218
"Internett";"2022";239
"Internett";"2023";249
